专家,工作,单位
6031,工作,中国科学院上海生命科学研究院
6039,工作,天津工业大学
6045,工作,南开大学
6047,工作,北京大学
6049,工作,浙江大学
6051,工作,武汉大学
6054,工作,武警江苏省总队
6058,工作,中国地质大学（北京）
6059,工作,北京大学
6065,工作,华中科技大学
6068,工作,清华大学
6069,工作,武汉大学
6070,工作,东南大学
6073,工作,中国科学院
6074,工作,重庆医科大学
6075,工作,浙江大学
6079,工作,大连理工大学
6083,工作,南京师范大学
6087,工作,中国科学院生物物理研究所
6088,工作,中国科学院
6092,工作,南开大学
6095,工作,中国科学院计算机网络信息中心
6096,工作,山东大学
6100,工作,大连理工大学
6102,工作,中国科学院
6105,工作,吉林大学
6108,工作,华中农业大学
6113,工作,东北大学
6115,工作,北京大学
6117,工作,北京妇产医院
6123,工作,华南理工大学
6124,工作,华中科技大学
6125,工作,中国科学院
6131,工作,华中科技大学
6133,工作,长安大学
6134,工作,北京联合大学
6135,工作,湖南化工研究院
6136,工作,吉林大学
6139,工作,山东大学
6140,工作,清华大学
6141,工作,华南农业大学
6143,工作,四川大学
6145,工作,中国科学院
6146,工作,郑州大学
6149,工作,南开大学
6150,工作,中国科学院
6153,工作,中国科学院
6154,工作,沈阳建筑大学
6155,工作,北京理工大学
6159,工作,清华大学
6160,工作,河南农业大学
6161,工作,西南大学
6165,工作,清华大学
6167,工作,武汉大学
6169,工作,暨南大学
6175,工作,中国科学院
6178,工作,河南大学民生学院
6179,工作,四川大学
6182,工作,中国科学院
6184,工作,武汉大学
6185,工作,中国科学院
6189,工作,西安交通大学
6194,工作,上海市建筑科学研究院(集团)有限公司
6195,工作,哈尔滨工业大学
6196,工作,中国科学院
6199,工作,中国科学院地质与地球物理研究所兰州油气资源研究中心
6211,工作,厦门大学
6213,工作,中国科学院
6215,工作,中国人民大学
6219,工作,西南交通大学
6220,工作,广西医科大学
6222,工作,兰州大学
6226,工作,河北北方学院
6229,工作,东北大学
6230,工作,首都医科大学
6235,工作,首都医科大学
6238,工作,中国科学院
6241,工作,北京宣武医院
6243,工作,兰州大学
6244,工作,华东理工大学
6245,工作,中国科学院
6250,工作,天津大学
6262,工作,西南交通大学
6264,工作,西南财经大学
6266,工作,宜宾学院
6270,工作,西南交通大学
6275,工作,中国科学院
6276,工作,中国科学院
6282,工作,华北电力大学
6289,工作,北京航空航天大学
6290,工作,武汉大学
6291,工作,清华大学
6293,工作,北京协和医院
6295,工作,首都经济贸易大学
6301,工作,河南农业大学
6307,工作,中国科学院
6315,工作,浙江财经学院
6318,工作,中国地质大学
6319,工作,中国科学院
6321,工作,石家庄经济学院
6324,工作,河海大学
6325,工作,第三军医大学
6328,工作,广东省工业技术研究院（广州有色金属研究院）
6329,工作,中国科学院
6336,工作,中国科学院
6338,工作,同济大学
6339,工作,北京大学人民医院
6343,工作,大连理工大学
6345,工作,南京航空航天大学
6348,工作,哈尔滨工业大学
6349,工作,山东大学
6352,工作,中国科学院
6353,工作,南京师范大学
6355,工作,右江民族医学院
6357,工作,兰州大学
6358,工作,安徽大学
6361,工作,中国人民大学
6363,工作,中国科学院半导体研究所
6365,工作,中国科学院
6368,工作,中国科学院半导体研究所
6369,工作,中国科学院
6370,工作,中国科学院
6372,工作,河南省信阳市质量技术监督局
6373,工作,中国林业科学研究院木材工业研究所
6375,工作,湘潭大学
6376,工作,中国科学院
6378,工作,中国科学院
6380,工作,中国科学院
6381,工作,中国科学院
6383,工作,太原理工大学
6384,工作,国家体育总局运动医学研究所
6385,工作,中国科学院半导体研究所
6388,工作,中国科学院
6390,工作,中国科学院
6393,工作,中国科学院
6394,工作,燕山大学
6395,工作,中南大学
6397,工作,华东理工大学
6399,工作,燕山大学
6402,工作,中国科学院
6403,工作,中国科学院
6406,工作,中国科学院
6409,工作,中国科学院
6413,工作,中国科学院
6414,工作,北京口腔医院
6415,工作,中国科学院半导体研究所
6418,工作,中国科学院
6419,工作,东南大学
6421,工作,中国科学院
6422,工作,中国科学院
6423,工作,中国科学院
6424,工作,上海交通大学
6428,工作,中国科学院
6429,工作,中国科学院
6430,工作,浙江大学
6431,工作,中国科学院
6433,工作,中国科学院
6435,工作,华中科技大学
6437,工作,中国科学院半导体研究所
6438,工作,中国科学院
6439,工作,中国科学院
6440,工作,清华大学
6441,工作,中国科学院
6448,工作,中国科学院
